Name,Destination,Avg_cost_per_person,Rating,Cuisine,Suitable_for,
Spice Corner,Madurai,300,4.5,Tamil,Family,
Hilltop Café,Ooty,400,4.3,Indian,Couple,
Green Bites,Kodaikanal,350,4.4,South Indian,All,
Tamil Eats,Madurai,250,4.2,Tamil,Family,Friends
Mist Dining,Ooty,500,4.1,Multi-cuisine,Couple,
Sea Breeze Eatery,Kanyakumari,450,4.3,Seafood,Family,
Royal Chettinad,Thanjavur,600,4.6,Tamil,All,
Chennai Spice,Chennai,400,4.2,South Indian,Family,
Yercaud Delights,Yercaud,300,4,Indian,Friends,
Rama's Kitchen,Rameswaram,200,3.9,Tamil,Solo,
Tamil Delight,Madurai,320,4.4,Tamil,Family,
Hill Feast,Ooty,410,4.2,Indian,Couple,
Mountain Snack,Kodaikanal,360,4.3,South Indian,All,
Chettinad Delight,Thanjavur,570,4.5,Tamil,Family,
Ocean Bites,Kanyakumari,490,4.2,Seafood,Couple,
Urban Eats,Chennai,440,4.1,South Indian,Family,
Green Snack,Yercaud,310,4,Indian,Friends,
Temple Bites,Rameswaram,160,3.8,Tamil,Solo,
Spicy Feast,Madurai,290,4.3,Tamil,Family,
Pine Diner,Ooty,380,4.1,Indian,Couple,
Lake Bites,Kodaikanal,330,4.2,South Indian,All,
Heritage Feast,Thanjavur,590,4.4,Tamil,Family,
Coastal Bites,Kanyakumari,460,4.3,Seafood,Couple,
City Spice,Chennai,420,4,South Indian,Family,
Hill Delight,Yercaud,280,3.9,Indian,Friends,
Trichy Eats,Trichy,250,4.1,Tamil,Family,
Coimbatore Bites,Coimbatore,400,4.3,South Indian,All,
Desert Snack,Dhanushkodi,200,3.8,Indian,Solo,
Falls Café,Courtallam,300,4.2,South Indian,Family,
Hill Snack 2,Ooty,390,4.1,Indian,Couple,
Tamil Snack,Madurai,270,4,Tamil,Family,
Mountain Feast,Kodaikanal,370,4.3,South Indian,All,
Chettinad Bites,Thanjavur,560,4.5,Tamil,Family,
Sea Snack,Kanyakumari,480,4.2,Seafood,Couple,
Urban Snack,Chennai,430,4.1,South Indian,Family,
Green Feast,Yercaud,320,4,Indian,Friends,
Temple Snack,Rameswaram,170,3.9,Tamil,Solo,
Spicy Bites,Madurai,310,4.4,Tamil,Family,
Pine Café,Ooty,400,4.2,Indian,Couple,
Lake Feast,Kodaikanal,350,4.3,South Indian,All,
Heritage Snack,Thanjavur,580,4.4,Tamil,Family,
Coastal Snack,Kanyakumari,470,4.3,Seafood,Couple,
City Bites,Chennai,440,4.1,South Indian,Family,
Hill Feast 2,Yercaud,290,3.9,Indian,Friends,
Trichy Snack,Trichy,260,4.1,Tamil,Family,
Coimbatore Feast,Coimbatore,410,4.3,South Indian,All,
Desert Bites,Dhanushkodi,210,3.8,Indian,Solo,
Falls Snack,Courtallam,310,4.2,South Indian,Family,
Hill Snack 3,Ooty,380,4.1,Indian,Couple,
Tamil Bites 2,Madurai,280,4,Tamil,Family,
Mountain Snack 2,Kodaikanal,360,4.3,South Indian,All,
Chettinad Snack,Thanjavur,570,4.5,Tamil,Family,
Sea Bites,Kanyakumari,490,4.2,Seafood,Couple,
Urban Bites,Chennai,450,4.1,South Indian,Family,
Green Snack 2,Yercaud,300,4,Indian,Friends,
Temple Feast,Rameswaram,180,3.9,Tamil,Solo,
Spicy Snack,Madurai,320,4.4,Tamil,Family,
Hill Diner 2,Ooty,410,4.2,Indian,Couple,
Lake Snack 2,Kodaikanal,340,4.3,South Indian,All,
Heritage Bites 2,Thanjavur,590,4.4,Tamil,Family,
Coastal Feast,Kanyakumari,460,4.3,Seafood,Couple,
City Feast,Chennai,430,4.1,South Indian,Family,
Hill Snack 4,Yercaud,310,4,Indian,Friends,
Trichy Feast,Trichy,270,4.1,Tamil,Family,
Coimbatore Snack,Coimbatore,420,4.3,South Indian,All,
Desert Feast,Dhanushkodi,220,3.8,Indian,Solo,
Falls Feast,Courtallam,320,4.2,South Indian,Family,
Hill Feast 3,Ooty,390,4.1,Indian,Couple,
Tamil Feast 2,Madurai,290,4,Tamil,Family,
Mountain Bites 2,Kodaikanal,370,4.3,South Indian,All,
Chettinad Feast,Thanjavur,560,4.5,Tamil,Family,
Sea Feast,Kanyakumari,480,4.2,Seafood,Couple,
Urban Feast,Chennai,440,4.1,South Indian,Family,
Green Feast 2,Yercaud,320,4,Indian,Friends,
Temple Bites 2,Rameswaram,190,3.9,Tamil,Solo,
Spicy Feast 2,Madurai,310,4.4,Tamil,Family,
Hill Bites 2,Ooty,400,4.2,Indian,Couple,
Lake Bites 2,Kodaikanal,350,4.3,South Indian,All,
Heritage Feast 2,Thanjavur,580,4.4,Tamil,Family,
Coastal Bites 2,Kanyakumari,470,4.3,Seafood,Couple,
City Snack 2,Chennai,450,4.1,South Indian,Family,
Hill Delight 2,Yercaud,300,4,Indian,Friends,
Trichy Bites,Trichy,280,4.1,Tamil,Family,
Coimbatore Bites 2,Coimbatore,430,4.3,South Indian,All,
Desert Snack 2,Dhanushkodi,230,3.8,Indian,Solo,
Falls Snack 2,Courtallam,330,4.2,South Indian,Family,
Hill Snack 5,Ooty,370,4.1,Indian,Couple,
Tamil Snack 2,Madurai,300,4.3,Tamil,Family,
Mountain Feast 2,Kodaikanal,380,4.4,South Indian,All,
Chettinad Bites 2,Thanjavur,550,4.5,Tamil,Family,
Sea Snack 2,Kanyakumari,500,4.2,Seafood,Couple,
Urban Snack 2,Chennai,460,4.1,South Indian,Family,
Green Delight,Yercaud,310,4,Indian,Friends,
Temple Snack 2,Rameswaram,200,3.9,Tamil,Solo,
Spicy Delight 2,Madurai,330,4.4,Tamil,Family,
Hill Feast 4,Ooty,420,4.2,Indian,Couple,
Lake Feast 2,Kodaikanal,360,4.3,South Indian,All,
Heritage Snack 3,Thanjavur,600,4.4,Tamil,Family,
Coastal Feast 2,Kanyakumari,480,4.3,Seafood,Couple,
City Bites 3,Chennai,470,4.1,South Indian,Family,
