Name,Destination,Price_per_night,Rating,Type,Suitable_for,Activity_type
Green Hill Stay,Ooty,1500,4.2,Budget,Family,Hill station
Temple View Inn,Madurai,1200,4,Budget,Family,Temples
Lake View Resort,Kodaikanal,3000,4.5,Mid-range,Couple,Hill station
Budget Lodge,Madurai,1000,3.8,Budget,Solo,Temples
Pine Retreat,Ooty,2500,4.3,Mid-range,Family,Hill station
Sunrise Inn,Kanyakumari,1800,4.1,Budget,Family,Beaches
Heritage Stay,Thanjavur,3500,4.6,Mid-range,Family,Temples
Coastal Breeze,Chennai,4000,4.4,Mid-range,Couple,Beaches
Misty Heights,Yercaud,2200,4,Budget,Family,Hill station
Rama Guest House,Rameswaram,1300,3.9,Budget,Solo,Temples
Hilltop Lodge,Ooty,1700,4.1,Budget,Family,Hill station
Temple Rest,Madurai,1400,4,Budget,All,Temples
Valley View,Kodaikanal,3200,4.4,Mid-range,Couple,Hill station
Beach Inn,Kanyakumari,2000,4.2,Budget,Family,Beaches
Royal Stay,Thanjavur,3800,4.5,Mid-range,Family,Temples
Marina View,Chennai,4500,4.3,Mid-range,Couple,Beaches
Serene Stay,Yercaud,2400,4.1,Budget,Family,Hill station
Pilgrim Rest,Rameswaram,1500,3.8,Budget,Solo,Temples
Eco Retreat,Ooty,2600,4.2,Mid-range,Family,Hill station
Sacred Stay,Madurai,1100,3.9,Budget,Family,Temples
Pine Haven,Kodaikanal,3400,4.6,Mid-range,Couple,Hill station
Sunset Lodge,Kanyakumari,1900,4,Budget,Family,Beaches
Palace Inn,Thanjavur,3600,4.4,Mid-range,Family,Temples
Ocean Breeze,Chennai,4200,4.3,Mid-range,Couple,Beaches
Hill Escape,Yercaud,2300,4,Budget,Family,Hill station
Trichy Comfort,Trichy,1400,4,Budget,Family,Temples
Coimbatore Stay,Coimbatore,2800,4.3,Mid-range,Family,City
Dhanushkodi Rest,Dhanushkodi,1600,3.9,Budget,Solo,Beaches
Waterfall Inn,Courtallam,2000,4.1,Budget,Family,Waterfalls
Hill Nest,Ooty,1800,4.2,Budget,Family,Hill station
Temple Haven,Madurai,1300,4,Budget,All,Temples
Mountain Retreat,Kodaikanal,3100,4.4,Mid-range,Couple,Hill station
Sea View Stay,Kanyakumari,2100,4.2,Budget,Family,Beaches
Royal Heritage,Thanjavur,3700,4.5,Mid-range,Family,Temples
City Comfort,Chennai,4300,4.3,Mid-range,Couple,Beaches
Green Escape,Yercaud,2500,4.1,Budget,Family,Hill station
Pilgrim Haven,Rameswaram,1400,3.8,Budget,Solo,Temples
Eco Lodge,Ooty,2700,4.2,Mid-range,Family,Hill station
Sacred Rest,Madurai,1200,3.9,Budget,Family,Temples
Pine Escape,Kodaikanal,3500,4.6,Mid-range,Couple,Hill station
Sunset Inn,Kanyakumari,2000,4,Budget,Family,Beaches
Palace Rest,Thanjavur,3400,4.4,Mid-range,Family,Temples
